product_id,warehouse,stock_quantity
114,Calgary-DC,168
115,Toronto-DC,140
115,Vancouver-DC,91
115,Montreal-DC,346
115,Calgary-DC,158
116,Toronto-DC,347
116,Vancouver-DC,236
116,Montreal-DC,31
116,Calgary-DC,485
117,Toronto-DC,88
117,Vancouver-DC,197
117,Montreal-DC,319
117,Calgary-DC,449
118,Toronto-DC,55
118,Vancouver-DC,322
118,Montreal-DC,163
118,Calgary-DC,421
119,Toronto-DC,405
119,Vancouver-DC,338
119,Montreal-DC,149
119,Calgary-DC,-42
120,Toronto-DC,207
120,Vancouver-DC,223
120,Montreal-DC,310
120,Calgary-DC,320
121,Toronto-DC,67
121,Vancouver-DC,471
121,Montreal-DC,441
121,,0
122,Toronto-DC,247
122,Vancouver-DC,396
122,Montreal-DC,357
122,Calgary-DC,89
123,Toronto-DC,292
123,Vancouver-DC,235
123,Montreal-DC,76
123,Calgary-DC,67
124,Toronto-DC,401
124,Vancouver-DC,385
124,Montreal-DC,-11
124,Calgary-DC,120
125,Toronto-DC,358
125,Vancouver-DC,59
125,Montreal-DC,368
125,Calgary-DC,477
126,Toronto-DC,267
126,Vancouver-DC,331
126,Montreal-DC,224
126,Calgary-DC,499
127,Toronto-DC,13
127,Vancouver-DC,260
127,Montreal-DC,450
127,Calgary-DC,210
128,,482
128,Vancouver-DC,354
128,Montreal-DC,123
128,Calgary-DC,106
129,Toronto-DC,423
129,Vancouver-DC,498
129,Montreal-DC,154
129,Calgary-DC,386
130,Toronto-DC,375
130,Vancouver-DC,141
130,Montreal-DC,179
130,Calgary-DC,118
131,Toronto-DC,298
131,Vancouver-DC,225
131,Montreal-DC,484
131,Calgary-DC,184
132,Toronto-DC,447
132,Vancouver-DC,455
132,Montreal-DC,23
132,Calgary-DC,281
133,Toronto-DC,88
133,Vancouver-DC,291
133,Montreal-DC,457
133,Calgary-DC,334
134,Toronto-DC,10
134,Vancouver-DC,352
134,Montreal-DC,102
134,Calgary-DC,488
135,Toronto-DC,262
135,Vancouver-DC,368
135,Montreal-DC,164
135,Calgary-DC,199
136,Toronto-DC,358
136,Vancouver-DC,438
136,Montreal-DC,304
136,Calgary-DC,256
137,Toronto-DC,23
137,Vancouver-DC,489
137,Montreal-DC,70
137,Calgary-DC,285
138,Toronto-DC,155
138,Vancouver-DC,142
138,Montreal-DC,0
138,Calgary-DC,477
139,Toronto-DC,472
139,Vancouver-DC,78
139,Montreal-DC,230
139,Calgary-DC,264
140,Toronto-DC,102
140,Vancouver-DC,214
140,Montreal-DC,354
140,Calgary-DC,67
141,Toronto-DC,337
141,Vancouver-DC,193
141,Montreal-DC,282
141,Calgary-DC,496
142,Toronto-DC,464
142,Vancouver-DC,367
142,Montreal-DC,464
142,Calgary-DC,141
143,Toronto-DC,316
143,Vancouver-DC,459
143,Montreal-DC,151
143,Calgary-DC,55
144,Toronto-DC,350
144,Vancouver-DC,448
144,Montreal-DC,347
144,Calgary-DC,451
145,Toronto-DC,150
145,Vancouver-DC,413
145,Montreal-DC,499
145,Calgary-DC,234
146,Toronto-DC,306
146,Vancouver-DC,28
146,Montreal-DC,135
146,Calgary-DC,146
147,Toronto-DC,233
147,Vancouver-DC,167
147,Montreal-DC,41
147,Calgary-DC,177
148,Toronto-DC,120
148,Vancouver-DC,458
148,Montreal-DC,251
148,Calgary-DC,324
149,Toronto-DC,310
149,Vancouver-DC,85
149,Montreal-DC,205
149,Calgary-DC,457
150,Toronto-DC,326
150,Vancouver-DC,9
150,,428
150,Calgary-DC,388
151,Toronto-DC,220
151,Vancouver-DC,10
151,Montreal-DC,458
151,Calgary-DC,276
152,Toronto-DC,394
152,Vancouver-DC,409
152,Montreal-DC,442
152,Calgary-DC,66
153,Toronto-DC,127
153,Vancouver-DC,349
153,Montreal-DC,264
153,Calgary-DC,75
154,Toronto-DC,5
154,Vancouver-DC,490
154,Montreal-DC,349
154,Calgary-DC,8
155,Toronto-DC,7
155,Vancouver-DC,349
155,Montreal-DC,325
155,Calgary-DC,88
156,Toronto-DC,304
156,Vancouver-DC,241
156,Montreal-DC,274
156,Calgary-DC,4
157,Toronto-DC,-47
157,Vancouver-DC,326
157,Montreal-DC,246
157,Calgary-DC,374
158,Toronto-DC,405
158,Vancouver-DC,282
158,Montreal-DC,71
158,Calgary-DC,320
159,Toronto-DC,137
159,Vancouver-DC,216
159,Montreal-DC,160
159,Calgary-DC,323
160,Toronto-DC,160
160,Vancouver-DC,103
160,Montreal-DC,2
160,Calgary-DC,312
161,Toronto-DC,75
161,Vancouver-DC,76
161,Montreal-DC,92
161,Calgary-DC,487
162,Toronto-DC,87
162,Vancouver-DC,61
162,Montreal-DC,65
162,Calgary-DC,263
163,Toronto-DC,280
163,Vancouver-DC,52
163,Montreal-DC,204
163,Calgary-DC,319
164,Toronto-DC,10
164,Vancouver-DC,104
164,Montreal-DC,406
164,Calgary-DC,487
165,Toronto-DC,163
165,Vancouver-DC,419
165,Montreal-DC,274
165,Calgary-DC,419
166,Toronto-DC,111
166,Vancouver-DC,396
166,Montreal-DC,497
166,Calgary-DC,463
167,Toronto-DC,89
167,Vancouver-DC,367
167,Montreal-DC,-12
167,Calgary-DC,76
168,Toronto-DC,116
168,Vancouver-DC,85
168,Montreal-DC,253
168,Calgary-DC,73
169,Toronto-DC,115
169,Vancouver-DC,156
169,Montreal-DC,-15
169,Calgary-DC,70
170,Toronto-DC,137
170,Vancouver-DC,36
170,Montreal-DC,460
170,Calgary-DC,393
171,Toronto-DC,451
171,Vancouver-DC,200
171,Montreal-DC,435
171,Calgary-DC,29
172,Toronto-DC,264
172,Vancouver-DC,109
172,Montreal-DC,284
172,Calgary-DC,268
173,Toronto-DC,478
173,Vancouver-DC,-32
173,Montreal-DC,341
173,Calgary-DC,41
174,Toronto-DC,130
174,Vancouver-DC,387
174,Montreal-DC,278
174,Calgary-DC,299
175,Toronto-DC,331
175,Vancouver-DC,304
175,Montreal-DC,138
175,Calgary-DC,277
176,Toronto-DC,480
176,Vancouver-DC,342
176,Montreal-DC,85
176,Calgary-DC,343
177,Toronto-DC,84
177,Vancouver-DC,109
177,Montreal-DC,351
177,Calgary-DC,489
178,Toronto-DC,98
178,Vancouver-DC,64
178,Montreal-DC,90
178,Calgary-DC,257
179,Toronto-DC,480
179,Vancouver-DC,372
179,Montreal-DC,154
179,Calgary-DC,217
180,Toronto-DC,386
180,Vancouver-DC,439
180,Montreal-DC,202
180,Calgary-DC,61
181,Toronto-DC,308
181,Vancouver-DC,298
181,Montreal-DC,-45
181,Calgary-DC,227
182,Toronto-DC,41
182,Vancouver-DC,23
182,,260
182,Calgary-DC,362
183,Toronto-DC,48
183,Vancouver-DC,392
183,Montreal-DC,260
183,Calgary-DC,204
184,Toronto-DC,100
184,Vancouver-DC,75
184,Montreal-DC,479
184,Calgary-DC,468
185,Toronto-DC,464
185,Vancouver-DC,56
185,Montreal-DC,122
185,Calgary-DC,329
186,Toronto-DC,116
186,Vancouver-DC,228
186,Montreal-DC,479
186,Calgary-DC,385
187,Toronto-DC,354
187,Vancouver-DC,162
187,Montreal-DC,366
187,Calgary-DC,483
188,Toronto-DC,348
188,Vancouver-DC,437
188,Montreal-DC,91
188,Calgary-DC,41
189,Toronto-DC,398
189,Vancouver-DC,133
189,Montreal-DC,176
189,Calgary-DC,338
190,Toronto-DC,182
190,Vancouver-DC,422
190,Montreal-DC,154
190,Calgary-DC,131
191,Toronto-DC,228
191,Vancouver-DC,67
191,Montreal-DC,79
191,Calgary-DC,244
192,Toronto-DC,14
192,Vancouver-DC,365
192,Montreal-DC,26
192,Calgary-DC,447
193,Toronto-DC,135
193,Vancouver-DC,264
193,Montreal-DC,464
193,Calgary-DC,312
194,Toronto-DC,470
194,Vancouver-DC,348
194,Montreal-DC,326
194,Calgary-DC,316
195,Toronto-DC,252
195,Vancouver-DC,410
195,Montreal-DC,134
195,Calgary-DC,395
196,Toronto-DC,130
196,Vancouver-DC,84
196,Montreal-DC,465
196,Calgary-DC,89
197,Toronto-DC,336
197,Vancouver-DC,175
197,Montreal-DC,314
197,Calgary-DC,349
198,Toronto-DC,440
198,Vancouver-DC,231
198,Montreal-DC,102
198,Calgary-DC,16
199,Toronto-DC,111
199,Vancouver-DC,251
199,Montreal-DC,129
199,Calgary-DC,263
200,Toronto-DC,440
200,Vancouver-DC,-23
200,Montreal-DC,186
200,Calgary-DC,331
201,Toronto-DC,26
201,Vancouver-DC,268
201,Montreal-DC,108
201,Calgary-DC,401
202,Toronto-DC,500
202,Vancouver-DC,224
202,Montreal-DC,429
202,Calgary-DC,137
203,Toronto-DC,433
203,Vancouver-DC,113
203,Montreal-DC,74
203,Calgary-DC,375
204,Toronto-DC,25
204,Vancouver-DC,384
204,Montreal-DC,463
204,Calgary-DC,454
205,Toronto-DC,26
205,Vancouver-DC,204
205,Montreal-DC,337
205,Calgary-DC,2
206,Toronto-DC,425
206,Vancouver-DC,331
206,Montreal-DC,-32
206,Calgary-DC,281
207,Toronto-DC,126
207,Vancouver-DC,1
207,Montreal-DC,327
207,Calgary-DC,486
208,Toronto-DC,232
208,Vancouver-DC,249
208,Montreal-DC,124
208,Calgary-DC,488
209,Toronto-DC,222
209,Vancouver-DC,382
209,Montreal-DC,340
209,Calgary-DC,195
210,Toronto-DC,247
210,Vancouver-DC,389
210,Montreal-DC,186
210,Calgary-DC,488
211,,259
211,Vancouver-DC,182
211,Montreal-DC,297
211,Calgary-DC,265
212,Toronto-DC,226
212,Vancouver-DC,463
212,Montreal-DC,249
212,Calgary-DC,488
213,Toronto-DC,47
213,Vancouver-DC,372
213,Montreal-DC,375
213,Calgary-DC,466
214,Toronto-DC,376
214,Vancouver-DC,162
214,Montreal-DC,239
214,Calgary-DC,430
215,Toronto-DC,119
215,Vancouver-DC,115
215,Montreal-DC,119
215,Calgary-DC,170
216,Toronto-DC,113
216,Vancouver-DC,256
216,Montreal-DC,108
216,Calgary-DC,255
217,Toronto-DC,392
217,Vancouver-DC,496
217,Montreal-DC,301
217,Calgary-DC,494
218,Toronto-DC,19
218,Vancouver-DC,94
218,Montreal-DC,126
218,Calgary-DC,273
219,Toronto-DC,370
219,Vancouver-DC,476
219,Montreal-DC,383
219,Calgary-DC,303
220,Toronto-DC,468
220,Vancouver-DC,491
220,Montreal-DC,149
220,Calgary-DC,400
221,Toronto-DC,345
221,Vancouver-DC,28
221,Montreal-DC,167
221,Calgary-DC,223
222,Toronto-DC,304
222,Vancouver-DC,374
222,Montreal-DC,148
222,Calgary-DC,347
223,Toronto-DC,425
223,Vancouver-DC,234
223,Montreal-DC,194
223,Calgary-DC,390
224,Toronto-DC,53
224,Vancouver-DC,487
224,Montreal-DC,313
224,Calgary-DC,86
225,Toronto-DC,237
225,Vancouver-DC,480
225,Montreal-DC,378
225,Calgary-DC,453
226,Toronto-DC,268
226,Vancouver-DC,61
226,Montreal-DC,78
226,Calgary-DC,380
227,Toronto-DC,346
227,Vancouver-DC,461
227,Montreal-DC,22
227,Calgary-DC,236
228,Toronto-DC,310
228,Vancouver-DC,323
228,Montreal-DC,205
228,Calgary-DC,79
229,Toronto-DC,143
229,Vancouver-DC,276
229,Montreal-DC,18
229,Calgary-DC,450
230,Toronto-DC,294
230,Vancouver-DC,408
230,Montreal-DC,314
230,Calgary-DC,180
231,Toronto-DC,81
231,Vancouver-DC,81
231,Montreal-DC,134
231,Calgary-DC,336
232,Toronto-DC,68
232,Vancouver-DC,386
232,Montreal-DC,232
232,Calgary-DC,167
233,Toronto-DC,218
233,Vancouver-DC,59
233,Montreal-DC,445
233,Calgary-DC,230
234,Toronto-DC,366
234,Vancouver-DC,125
234,Montreal-DC,459
234,Calgary-DC,498
235,Toronto-DC,228
235,Vancouver-DC,77
235,Montreal-DC,27
235,Calgary-DC,40
236,Toronto-DC,243
236,,435
236,Montreal-DC,372
236,Calgary-DC,354
237,Toronto-DC,425
237,Vancouver-DC,482
237,Montreal-DC,11
237,Calgary-DC,32
238,Toronto-DC,57
238,Vancouver-DC,228
238,Montreal-DC,164
238,Calgary-DC,326
239,Toronto-DC,169
239,Vancouver-DC,170
239,Montreal-DC,355
239,Calgary-DC,200
240,Toronto-DC,232
240,Vancouver-DC,235
240,Montreal-DC,446
240,Calgary-DC,150
241,Toronto-DC,245
241,Vancouver-DC,126
241,Montreal-DC,188
241,Calgary-DC,57
242,Toronto-DC,22
242,Vancouver-DC,455
242,Montreal-DC,214
242,Calgary-DC,232
243,Toronto-DC,366
243,Vancouver-DC,155
243,Montreal-DC,443
243,Calgary-DC,152
244,Toronto-DC,133
244,Vancouver-DC,354
244,Montreal-DC,309
244,Calgary-DC,404
245,Toronto-DC,310
245,Vancouver-DC,404
245,Montreal-DC,260
245,Calgary-DC,288
246,Toronto-DC,21
246,Vancouver-DC,402
246,Montreal-DC,363
246,Calgary-DC,251
247,Toronto-DC,485
247,Vancouver-DC,63
247,Montreal-DC,358
247,Calgary-DC,204
248,Toronto-DC,249
248,Vancouver-DC,321
248,Montreal-DC,251
248,Calgary-DC,265
249,Toronto-DC,458
249,Vancouver-DC,431
249,Montreal-DC,378
249,Calgary-DC,364
250,Toronto-DC,263
250,Vancouver-DC,26
250,Montreal-DC,120
250,Calgary-DC,9
251,Toronto-DC,414
251,Vancouver-DC,84
251,Montreal-DC,500
251,Calgary-DC,146
252,Toronto-DC,384
252,Vancouver-DC,294
252,Montreal-DC,434
252,Calgary-DC,69
253,Toronto-DC,112
253,Vancouver-DC,345
253,Montreal-DC,346
253,Calgary-DC,373
254,Toronto-DC,0
254,Vancouver-DC,500
254,Montreal-DC,470
254,Calgary-DC,4
255,Toronto-DC,286
255,Vancouver-DC,109
255,Montreal-DC,114
255,Calgary-DC,154
256,Toronto-DC,61
256,Vancouver-DC,459
256,Montreal-DC,273
256,Calgary-DC,245
257,Toronto-DC,-11
257,Vancouver-DC,498
257,Montreal-DC,61
257,Calgary-DC,399
258,Toronto-DC,163
258,Vancouver-DC,361
258,Montreal-DC,160
258,Calgary-DC,404
259,Toronto-DC,350
259,Vancouver-DC,9
259,,414
259,Calgary-DC,100
260,,315
260,Vancouver-DC,320
260,Montreal-DC,99
260,Calgary-DC,28
261,Toronto-DC,397
261,Vancouver-DC,430
261,Montreal-DC,117
261,Calgary-DC,260
262,Toronto-DC,482
262,Vancouver-DC,438
262,Montreal-DC,479
262,Calgary-DC,5
263,Toronto-DC,97
263,Vancouver-DC,384
263,Montreal-DC,189
263,Calgary-DC,137
264,Toronto-DC,105
264,Vancouver-DC,53
264,Montreal-DC,423
264,Calgary-DC,471
265,Toronto-DC,127
265,Vancouver-DC,225
265,Montreal-DC,376
265,Calgary-DC,112
266,Toronto-DC,55
266,Vancouver-DC,77
266,Montreal-DC,477
266,Calgary-DC,364
267,Toronto-DC,292
267,Vancouver-DC,189
267,Montreal-DC,407
267,Calgary-DC,355
268,Toronto-DC,14
268,Vancouver-DC,406
268,Montreal-DC,396
268,Calgary-DC,138
269,Toronto-DC,282
269,Vancouver-DC,460
269,Montreal-DC,263
269,Calgary-DC,320
270,Toronto-DC,439
270,Vancouver-DC,498
270,Montreal-DC,465
270,Calgary-DC,375
271,Toronto-DC,279
271,Vancouver-DC,55
271,Montreal-DC,394
271,Calgary-DC,315
272,Toronto-DC,-9
272,Vancouver-DC,255
272,Montreal-DC,359
272,Calgary-DC,186
273,Toronto-DC,289
273,Vancouver-DC,434
273,Montreal-DC,289
273,Calgary-DC,236
274,Toronto-DC,116
274,Vancouver-DC,70
274,Montreal-DC,355
274,Calgary-DC,90
275,Toronto-DC,328
275,Vancouver-DC,298
275,Montreal-DC,68
275,Calgary-DC,447
276,Toronto-DC,426
276,Vancouver-DC,246
276,Montreal-DC,268
276,Calgary-DC,19
277,Toronto-DC,318
277,Vancouver-DC,302
277,Montreal-DC,73
277,Calgary-DC,464
278,Toronto-DC,-44
278,Vancouver-DC,120
278,Montreal-DC,451
278,Calgary-DC,410
279,Toronto-DC,358
279,Vancouver-DC,339
279,Montreal-DC,294
279,Calgary-DC,432
280,Toronto-DC,276
280,Vancouver-DC,202
280,Montreal-DC,107
280,Calgary-DC,447
281,Toronto-DC,295
281,Vancouver-DC,-50
281,Montreal-DC,322
281,Calgary-DC,19
282,Toronto-DC,214
282,Vancouver-DC,91
282,Montreal-DC,15
282,Calgary-DC,141
283,Toronto-DC,487
283,Vancouver-DC,219
283,Montreal-DC,425
283,Calgary-DC,235
284,Toronto-DC,287
284,Vancouver-DC,212
284,Montreal-DC,466
284,Calgary-DC,100
285,Toronto-DC,464
285,Vancouver-DC,20
285,Montreal-DC,393
285,Calgary-DC,113
286,Toronto-DC,277
286,Vancouver-DC,32
286,Montreal-DC,436
286,Calgary-DC,198
287,Toronto-DC,296
