product_id,category,size,price,supplier
157,Accessories,M,52.11,Supplier B
158,Footwear,L,190.93,Supplier C
159,Jackets,S,114.59,Supplier B
160,Vests,XS,450.61,Supplier C
161,Footwear,M,369.87,Supplier C
162,Knitwear,XS,299.67,Supplier C
163,Vests,XS,602.17,Supplier A
164,Vests,L,440.24,Supplier C
165,Accessories,M,633.65,Supplier B
166,Vests,L,228.45,Supplier B
167,Knitwear,M,431.28,
168,Footwear,XL,643.67,Supplier B
169,Knitwear,XS,695.2,Supplier D
170,Accessories,XS,494.23,Supplier A
171,Knitwear,XL,93.11,Supplier B
172,Vests,S,532.52,Supplier C
173,Footwear,XS,774.86,Supplier B
174,Footwear,XS,656.55,Supplier D
175,Footwear,S,735.48,Supplier D
176,Jackets,XL,432.85,Supplier D
177,Accessories,XXL,618.58,Supplier A
178,Jackets,XXL,380.52,Supplier B
179,Jackets,L,537.35,Supplier C
180,Knitwear,XS,642.33,Supplier A
181,Footwear,XS,888.08,Supplier C
182,Vests,XXL,391.63,Supplier D
183,Footwear,L,362.04,Supplier D
184,Knitwear,S,363.06,Supplier C
185,Knitwear,L,142.02,Supplier B
186,Vests,XS,665.96,Supplier A
187,Footwear,XXL,881.5,Supplier D
188,Vests,S,497.46,Supplier D
189,Accessories,S,337.7,Supplier A
190,Footwear,XL,67.71,Supplier A
191,Jackets,XS,246.97,Supplier A
192,Jackets,S,423.94,Supplier A
193,Vests,XL,385.95,
194,Jackets,S,688.77,Supplier C
195,Knitwear,M,241.38,Supplier C
196,Vests,XXL,243.74,Supplier B
197,Accessories,XS,395.66,Supplier B
198,Footwear,XL,578.35,Supplier D
199,Accessories,XXL,80.32,Supplier D
200,Accessories,XXL,715.79,Supplier D
201,Accessories,L,391.1,Supplier B
202,Footwear,S,688.8,Supplier B
203,Vests,L,298.63,Supplier A
204,Footwear,XL,523.65,Supplier B
205,Accessories,S,374.04,Supplier C
206,Footwear,M,596.17,Supplier A
207,Vests,XS,500.65,Supplier C
208,Knitwear,XL,364.36,Supplier A
209,Vests,XL,791.31,Supplier B
210,Accessories,M,452.28,Supplier A
211,Vests,XXL,222.15,Supplier A
212,Footwear,S,-309.25,Supplier B
213,Vests,XL,381.1,Supplier C
214,Footwear,L,706.94,Supplier C
215,Accessories,XL,305.24,Supplier D
216,Footwear,M,440.76,Supplier B
217,Footwear,XS,358.81,Supplier B
218,Jackets,M,-267.57,Supplier D
219,Vests,M,293.87,Supplier B
220,Vests,L,366.66,Supplier C
221,Footwear,XXL,261.3,Supplier D
222,Accessories,S,436.31,Supplier B
223,Footwear,S,659.47,Supplier A
224,Jackets,XXL,490.59,Supplier A
225,Footwear,S,697.33,Supplier B
226,Vests,XS,98.45,Supplier B
227,Accessories,XS,474.93,Supplier D
228,Jackets,XS,606.98,Supplier D
229,Knitwear,XXL,50.19,Supplier C
230,Accessories,XS,500.73,Supplier D
231,Vests,XS,733.3,Supplier A
232,Vests,S,490.97,Supplier C
233,Accessories,L,741.08,Supplier A
234,Footwear,L,360.82,Supplier B
235,Vests,M,891.6,Supplier A
236,Jackets,XS,602.21,Supplier D
237,Knitwear,L,366.17,Supplier A
238,Vests,XS,587.6,Supplier D
239,Accessories,XL,766.98,Supplier A
240,Jackets,S,809.52,Supplier B
241,Knitwear,L,815.09,Supplier C
242,Jackets,XXL,80.04,
243,Knitwear,XXL,813.41,Supplier A
244,Accessories,XS,194.24,Supplier B
245,Footwear,XS,544.85,Supplier C
246,Vests,XL,179.71,Supplier D
247,Knitwear,M,622.25,Supplier D
248,Vests,XXL,689.82,Supplier A
249,Accessories,XS,470.68,Supplier A
250,Jackets,M,415.9,Supplier D
251,Accessories,XS,873.27,Supplier C
252,Footwear,L,713.85,Supplier B
253,Footwear,L,346.0,Supplier B
254,Footwear,XS,624.54,Supplier C
255,Jackets,XS,726.33,Supplier C
256,Vests,XXL,172.63,Supplier D
257,Jackets,XS,312.34,Supplier A
258,Footwear,M,850.95,Supplier C
259,Jackets,S,127.92,Supplier D
260,Knitwear,XL,426.01,Supplier D
261,Jackets,M,128.83,Supplier A
262,Accessories,L,553.36,Supplier A
263,Footwear,XS,290.99,Supplier B
264,Vests,XXL,531.89,Supplier D
265,Accessories,M,185.77,Supplier C
266,Jackets,S,464.09,Supplier D
267,Accessories,L,277.33,Supplier A
268,Vests,XXL,350.57,Supplier D
269,Vests,L,550.67,Supplier A
270,Jackets,L,156.52,Supplier C
271,Footwear,M,763.79,Supplier D
272,Knitwear,S,327.87,Supplier C
273,Vests,L,315.77,Supplier C
274,Footwear,M,192.77,Supplier C
275,Footwear,XL,671.99,Supplier B
276,Accessories,L,320.26,Supplier C
277,Knitwear,S,137.94,Supplier B
278,Knitwear,XS,626.27,Supplier D
279,Vests,L,850.96,Supplier C
280,Jackets,L,754.9,Supplier D
281,Accessories,S,159.69,Supplier C
282,Footwear,L,606.45,Supplier A
283,Knitwear,L,426.2,Supplier D
284,Footwear,XL,499.56,Supplier A
285,Accessories,XXL,720.02,Supplier A
286,Vests,XXL,134.06,Supplier C
287,Knitwear,XS,-51.22,Supplier D
288,Accessories,L,871.46,Supplier A
289,Accessories,S,49.07,Supplier B
290,Footwear,L,423.37,Supplier B
291,Jackets,L,336.67,Supplier A
292,Jackets,XS,294.07,Supplier B
293,Accessories,L,339.56,Supplier B
294,Accessories,L,488.16,
295,Footwear,M,416.82,Supplier A
296,Jackets,XS,298.23,Supplier C
297,Vests,XXL,597.25,Supplier B
298,Knitwear,S,483.75,Supplier C
299,Footwear,S,521.47,Supplier D
300,Vests,XXL,581.59,Supplier D
